"Code","dist_nearest_school","pred_ntl_antilog","pred_ndvi","geometry"
"R260",318.143436498069,14.0418826144326,0.619300163936725,c(121.1629805, 13.95479181)
"R261",351.988559609473,14.4255574475823,0.623371322344881,c(121.1631875, 13.9545625)
"R262",338.718111670219,14.038272743388,0.621578294885192,c(121.1633281, 13.9548375)
"R263",76.7873649199642,13.173895236895,0.639247822405239,c(121.1588538, 13.96961584)
"R264",385.39326795,18.0727620826994,0.631201736414386,c(121.1574219, 13.9496625)
"R265",1135.46210877937,3.34335445759735,0.920699769923733,c(121.1957969, 13.9409625)
"R266",1575.72346279546,11.6866700238224,0.636819550242688,c(121.1838125, 14.0159375)
"R267",434.410254345773,14.1063772404725,0.634042139880335,c(121.1644531, 13.9547875)
"R268",1765.33126240874,8.35662070785851,0.858166598646542,c(121.1135625, 13.9284375)
"R269",646.82345264617,14.8257609927908,0.680626462950057,c(121.1664531, 13.9523875)
"R270",852.49378867587,5.14930305598134,0.828247190195216,c(121.1491875, 13.9841875)
"R271",428.863223801199,14.2332678779016,0.63332075010316,c(121.1643125, 13.9546875)
"R272",674.593646720737,8.51821325549392,0.702712168593767,c(121.1270625, 13.9406875)
"R273",385.170895618652,17.8372133348449,0.69507254866244,c(121.1511719, 13.9423125)
"R274",393.94198984649,19.287380948422,0.687798573856216,c(121.1518594, 13.9420125)
"R275",270.169300820464,12.5614888517628,0.863345498057156,c(121.1379531, 13.9422125)
"R276",625.503396030161,10.5403954890409,0.595647749444204,c(121.1694375, 13.9624375)
"R277",698.785666677458,10.0360859684931,0.608019871771127,c(121.1689375, 13.9615625)
"R278",109.557312052246,27.31609939916,0.667524974230595,c(121.1720625, 14.0093125)
"R279",9.62104584568659,16.0969413118311,0.681518607953481,c(121.1644219, 13.9419625)
"R280",469.395809302579,13.8840558022109,0.638769688584809,c(121.1649375, 13.9549375)
"R281",416.615612541186,14.6063934857371,0.631567203066924,c(121.1639024, 13.95440238)
"R282",329.203989584916,19.7514862660027,0.614919678180638,c(121.1603594, 13.9418625)
"R283",214.217406131186,19.7755424625963,0.660172073380493,c(121.1611875, 13.9390625)
"R284",283.629572875115,10.991767537049,0.836026068484463,c(121.1450625, 13.9414375)
"R285",237.887625773848,17.8296724237562,0.632775150988398,c(121.1586875, 13.9501875)
"R286",87.6495192909717,25.8191996232685,0.706058396107454,c(121.1709375, 14.0080625)
"R287",416.617974206112,14.6076809256902,0.631566740918674,c(121.1639014, 13.95440138)
"R288",61.2802930359116,15.2770805595219,0.71715570679622,c(121.1645781, 13.9366625)
"R289",330.792919578919,14.9405462041402,0.588432198230225,c(121.1623125, 13.9700625)
"R290",311.62546130835,9.18862990501047,0.815190319221997,c(121.1336875, 13.9428125)
"R291",160.300248996741,8.66464338728719,0.689692135395202,c(121.1763125, 13.9641875)
"R292",275.39026448544,22.9286843419628,0.762586697057787,c(121.1686875, 14.0093125)
"R293",565.295463527133,14.599193794263,0.7114070332945,c(121.1673125, 13.9498125)
"R294",249.106370405275,17.5810783110776,0.635182625389166,c(121.1584375, 13.9504375)
"R295",1095.14896992869,3.07115835452514,0.730291451770781,c(121.1934375, 13.9768125)
"R296",517.021656084144,6.13937155026899,0.69171795231945,c(121.1493125, 13.9251875)
"R297",249.106370405275,17.5810783110776,0.635182625389166,c(121.1584375, 13.9504375)
"R298",262.27021422894,18.2668104827547,0.642661467016503,c(121.1620625, 13.9411875)
"R299",153.487358624524,2.3038793351159,0.921295992746425,c(121.1231094, 13.9164875)
"R300",7.10026927649083,16.0994676763501,0.682179312701531,c(121.1644375, 13.9419375)
"R301",190.770470767017,15.7177909715052,0.648884578397176,c(121.1636875, 13.9434375)
"R302",345.42973628765,12.346928566849,0.852968070050716,c(121.1371875, 13.9425625)
"R303",1604.51345876083,8.65096311547768,0.799910243778898,c(121.1144375, 13.9319375)
"R304",185.697260423242,17.974307915261,0.632948362747256,c(121.1602969, 13.9496625)
"R305",1412.05617952146,8.50732491104593,0.759487120817318,c(121.1874375, 13.9676875)
"R306",160.181411026585,16.7064400380549,0.636907484352072,c(121.1617969, 13.9521125)
"R307",455.677236043078,10.4165549257579,0.866695024524067,c(121.1435625, 13.9406875)
"R308",350.082602878042,18.2762353751917,0.625841950662277,c(121.1580156, 13.9493625)
"R309",721.824686993602,9.13753861571204,0.636572607112712,c(121.1241875, 13.9403125)
"R310",273.144689617014,14.4275891034735,0.668934828400162,c(121.1509375, 13.9441875)
"R311",366.3633303066,9.80295007621507,0.823207627368352,c(121.1344531, 13.9429375)
"R312",966.379289257875,7.94126200926741,0.764390884052766,c(121.1481406, 13.9752875)
"R313",352.332682895177,16.3249602369824,0.695195268877733,c(121.1506875, 13.9428125)
"R314",416.567674608141,14.5612499303918,0.631585998059626,c(121.1639375, 13.9544375)
"R315",416.613308492439,14.6051061502139,0.631567669581848,c(121.1639034, 13.95440338)
"R316",522.074192042269,12.6477457253101,0.642314120756403,c(121.1658906, 13.9560125)
"R317",428.863223801199,14.2332678779016,0.63332075010316,c(121.1643125, 13.9546875)
"R318",175.706781534565,7.18867597466554,0.781109925013109,c(121.1459531, 13.9336375)
"R319",352.332682895177,16.3249602369824,0.695195268877733,c(121.1506875, 13.9428125)
"R320",237.843791629218,24.2259320357074,0.765047176328305,c(121.1693125, 14.0099375)
